Code,Litter ,Cohort,Treatment,AgeAtDeath,Survival_Status_glmm,Sex,Group_size,Total_monthly_Rainfall
VAZF049,VAZ1201,1,C,81,0,F,11.6,59.999993
VAZF052,VAZ1201A!,1,S,365,1,F,17.7,0.4
VAZM050,VAZ1201A!,1,S,353,0,M,7.5,0.4
VAZM051,VAZ1201A!,1,S,365,1,M,7.5,0.4
VAZM053,VAZ1201A!,1,S,323,0,M,16.9,68.399985
VBBF082,VBB1201,1,C,277,0,F,13.3,2.2
VBBF083,VBB1201,1,C,365,1,F,12.3,17.599998
VBBF086,VBB1201,1,C,130,0,F,13.3,2.2
VBBF088,VBB1303,3,S,365,1,F,4.9,30.599992
VBBF093,VBB1304,3,C,365,1,F,23.9,12.199995
VBBM084,VBB1201,1,C,365,1,M,13.3,2.2
VBBM085,VBB1201,1,C,365,1,M,9.8,5.8
VBBM087,VBB1203,2,C,102,0,M,4.9,24.199997
VBBM089,VBB1303,3,S,365,1,M,27.3,8.2
VBBM090,VBB1303,3,S,365,1,M,27.3,8.2
VBBM091,VBB1304,3,C,365,1,M,26.2,2.2
VBBM092,VBB1304,3,C,365,1,M,26.3,2.2
VBBM094,VBB1304,3,C,365,1,M,6.6,24.199997
VBBM095,VBB1403,3,F,365,1,M,18.7,9.000001
VBBM096,VBB1403,3,F,365,1,M,18.7,9.000001
VBBM097,VBB1403,3,F,365,1,M,18.7,9.000001
VBBM098,VBB1403,3,F,365,1,M,20.7,11.6
VCVF010,VCV1202,2,C,83,0,F,4.9,24.199997
VCVM006,VCV1202,2,C,49,0,M,4.9,8
VCVM007,VCV1202,2,C,49,0,M,4.9,8
VCVP008,VCV1202,2,C,31,0,P,4.9,24.199997
VCVP009,VCV1202,2,C,28,0,P,31.7,57.399988
VDF162,VD1201,1,F,365,1,F,9.8,5.8
VDF163,VD1201,1,F,365,1,F,9.8,5.8
VDF166,VD1202,2,C,301,0,F,8.9,102.000108
VDM161,VD1201,1,F,365,1,M,9.7,40.79999
VDM165,VD1202,2,C,41,0,M,8.9,102.000108
VDP164,VD1202,2,C,29,0,P,8.9,102.000108
VEKF021,VEK1303,3,C,365,1,F,26.2,2.2
VEKF022,VEK1303,3,C,365,1,F,26.2,2.2
VEKF023,VEK1303,3,C,365,1,F,27.3,8.2
VEKF025,VEK1401,3,F,365,1,F,30.6,59.999993
VEKF026,VEK1401,3,F,182,0,F,7.3,35.400021
VEKM024,VEK1401,3,F,365,1,M,7.3,35.400021
VFF186,VF1201,1,C,340,0,F,12.6,42.000022
VFM184,VF1201,1,C,343,0,M,12.6,42.000022
VFM185,VF1201,1,C,77,0,M,17.3,97.000108
VFM187,VF1201,1,C,312,0,M,17.3,97.000108
VGBF009,VGB1404,3,S,175,0,F,20.7,11.6
VGBF010,VGB1404,3,S,160,0,F,20.7,11.6
VGBM011,VGB1404,3,S,152,0,M,11.6,6.8
VGBP008,VGB1404,3,S,33,0,P,11.6,6.8
VGBP012,VGB1404,3,S,25,0,P,7.9,108.400108
VJXF052,VJX1201,1,C,365,1,F,30,5.8
VJXF053,VJX1201,1,C,365,1,F,10,0
VJXF057,VJX1203,2,S,365,1,F,16.9,68.399985
VJXF058,VJX1203,2,S,365,1,F,15.1,12.199995
VJXF074,VJX1402,3,S,177,0,F,11.6,7.6
VJXM054,VJX1201,1,C,365,1,M,10,0
VJXM055,VJX1201,1,C,365,1,M,12.6,42.000022
VJXM072,VJX1402,3,S,59,0,M,7.9,108.400108
VJXM073,VJX1402,3,S,365,1,M,7.9,108.400108
VJXM075,VJX1402,3,S,365,1,M,11.6,7.6
VKUF061,VKU1106,1,F,365,1,F,24.5,12.6
VKUF062,VKU1106,1,F,66,0,F,24.8,12.6
VKUF065,VKU1201,1,S,365,1,F,10,0
VKUF077,VKU1402,3,C,319,0,F,16.7,57.399988
VKUM070,VKU1402,3,C,365,1,M,18.8,59.999993
VKUM071,VKU1402,3,C,40,0,M,18.8,59.999993
VKUM072,VKU1402,3,C,26,0,M,18.8,59.999993
VKUM073,VKU1402,3,C,27,0,M,16.7,57.399988
VKUP063,VKU1201,1,S,43,0,P,12.6,42.000022
VKUP064,VKU1201,1,S,43,0,P,30.1,18.399998
VKUP066,VKU1201,1,S,43,0,P,30.7,18.399998
VKUP074,VKU1401/02,3,C/S,26,0,P,8.7,57.399988
VKUP075,VKU1401/02,3,C/S,26,0,P,8.7,57.399988
VKUP076,VKU1401/02,3,C/S,26,0,P,8.7,57.399988
VLF194,VL1201,1,F,365,1,F,9.7,40.79999
VLF195,VL1201,1,F,356,0,F,7.3,40.79999
VLF196,VL1206-8,3,S,149,0,F,7.9,108.400108
VLF200,VL1207,2,S,139,0,F,8.9,102.000108
VLF201,VL1207,2,S,68,0,F,16.9,68.399985
VLF202,VL1206-8,3,S,153,0,F,7.9,108.400108
VLM193,VL1201,1,F,365,1,M,11.6,59.999993
VLM197,VL1208,2,S,148,0,M,15.1,12.199995
VLM198,VL1207,2,S,146,0,M,16.9,68.399985
VLM199,VL1206-8,3,S,149,0,M,20.7,11.6
VLM210,VL1401,3,S,365,1,M,8.7,57.399988
VLM211,VL1401,3,S,365,1,M,30.6,80.199983
VMYF004,VMY1206,3,S,139,0,F,25.2,12.199995
VMYF005,VMY1206,3,S,365,1,F,26.2,2.2
VRRM163,VRR1401,3,S,35,0,M,7.3,35.400021
VSQF041,VSQ1202,1,S,298,0,F,5.7,7.8
VSQM037,VSQ1201,1,C,365,1,M,30.1,18.399998
VSQM039,VSQ1202,1,S,365,1,M,5.7,7.8
VSQM040,VSQ1202,1,S,365,1,M,12.3,17.599998
VSQM042,VSQ1202,1,S,365,1,M,12.3,17.599998
VSQP038,VSQ1201,1,C,31,0,P,30.7,18.399998
VTYF042,VTY1201,1,C,365,1,F,24.8,9
VTYM043,VTY1201,1,C,184,0,M,24.8,12.6
VTYM044,VTY1201,1,C,34,0,M,24.8,12.6
VTYM045,VTY1201,1,C,365,1,M,30.7,18.399998
VVHF057,VVH1201,1,C,50,0,F,17.3,97.000108
VVHF058,VVH1201,1,C,77,0,F,17.3,97.000108
VVHF069,VVH1401,3,C,100,0,F,6.6,34.199992
VVHF070,VVH1401,3,C,365,1,F,9.1,5
VVHF072,VVH1401,3,C,365,1,F,9.1,5.8
VVHF073,VVH1401,3,C,365,1,F,7.3,44.79999
VVHM056,VVH1201,1,C,365,1,M,5.7,7.8
VVHM059,VVH1201,1,C,81,0,M,5.7,7.8
VVHM060,VVH1201,1,C,365,1,M,5.7,7.8
VVHM071,VVH1401,3,C,365,1,M,18.8,59.999993
VVHP061,VVH1202,2,C,42,0,P,27.9,68.20003
VVHP062,VVH1202,2,C,35,0,P,28,90.40002
VVHP063,VVH1202,2,C,35,0,P,31.7,57.399988
VWF174,VW1203,1,S,106,0,F,11.6,59.999993
VWF176,VW1203,1,S,365,1,F,11.6,59.999993
VWF177,VW1203,1,S,365,1,F,17.7,0.4
VWF180,VW1205,2,C,37,0,F,31.7,57.399988
VWF181,VW1205,2,C,37,0,F,31.7,57.399988
VWF182,VW1402,3,S,40,0,F,7.3,31.80002
VWF183,VW1402,3,S,64,0,F,30.6,80.199983
VWF184,VW1402,3,S,36,0,F,30.6,59.999993
VWM175,VW1203,1,S,365,1,M,17.7,0.4
VWM178,VW1205,2,C,49,0,M,4.9,30.599992
VWM185,VW1402,3,S,64,0,M,30.6,59.999993
VWM186,VW1402,3,S,365,1,M,7.3,35.400021
VWP179,VW1205,2,C,30,0,P,4.9,30.599992
