"","sampleid2","ID","KMP.ID","Birthday","Month","Treatment","Sex","Rank","Cohort","Age.Days","Age.Months","Group","Litter","Mother","days.RX","Capture.Birth","Preg.stage","Littercode","Preg.end","Outcome","Litter.Size","Sex.Ratio","Capture.Date","Average.Weight.5.days","Group.size","Total.monthly.Rainfall","Average.monthly.AirTempMin","Average.monthly..AirTempMax","Cap.time","Bleed.St","Bleed.end","Cap.Bleed","Blood.Sample.no","E.pg.ml","A4.ng.ml","T.ng.ml","S.ng.ml","IGF.1.ng.ml","Morpometric.observor","HF.1","HF.2","HF.3","HINDFOOT.avrg","HF.w.o.C.1","HF.w.o.C.2","HF.w.o.C.3","HINDFOOT.w.o.CLAW.avrg","FA.1","FA.2","FA.3","FOREARM.avrg","W.1","W.2","W.3","WRIST.avrg","W.w.o.C.1","W.w.o.C.2","W.w.o.C.3","WRIST.w.o.CLAW.avrg","SW.1","SW.2","SW.3","SKULL.WIDTH.avrg","SL.1","SL.2","SL.3","SKULL.LENGTH.avrg","AGD1","AGD2","AGD3","AGD.AVRG","AGD.observor","BODY.LENGTH..CM.","MORPHS","X2D4D","Extraction.no.","date","ConditionResiduals","ConditionResiduals_scaled","Total.monthly.Rainfall_scaled"
"1",1,1,"VKUF061","27-Dec-11","26-Jan-12","F","F","S",1,21,1,"KUNGFU","VKU1106","VGGF014",4,NA,NA,NA,NA,NA,NA,NA,"17-Jan-12",143,27.9,68.20003,17.70693938,37.95596969,"6:36:00","6:56:00",NA,20,"2961",NA,1.54,NA,NA,NA,"Lid/Jof",NA,NA,NA,37.3,NA,NA,NA,36.1,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA,NA,NA,48.1,NA,NA,NA,2.11,NA,NA,"YES",NA,NA,2012-01-26,35.4728909296044,0.268210533300729,0.787486036045595
"2",2,2,"VKUF062","27-Dec-11","26-Jan-12","F","F","S",1,26,1,"KUNGFU","VKU1106","VGGF014",4,NA,NA,NA,NA,NA,NA,NA,"22-Jan-12",136,28,90.40002,17.96430344,37.0509975,"7:05:00","7:20:00",NA,15,"2963",NA,1.288,0.372,NA,NA,"Lid/Jof",NA,NA,NA,41,NA,NA,NA,39.4,NA,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,NA,NA,NA,48,NA,NA,NA,1.7,NA,NA,"YES",NA,NA,2012-01-26,-15.7574922433324,-0.102596444704622,1.15882885789303
"3",3,3,"VTYF042","8-Jan-12","7-Feb-12","C","F","S",1,29,1,"TOYOTA","VTY1201","VTYF035",NA,NA,NA,NA,NA,NA,NA,NA,"6-Feb-12",94.6,8.7,57.399988,18.31133531,36.39404031,"6:46:00","6:58:00",NA,12,"2970",NA,3.057,2.15,NA,NA,"Lid/Jof",NA,NA,NA,35.6,NA,NA,NA,33.6,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,NA,NA,NA,46.9,NA,NA,NA,NA,NA,NA,"YES",NA,NA,2012-02-07,7.39495887393138,0.0649816583759024,0.606831987446886
"4",4,4,"VTYM045","8-Jan-12","7-Feb-12","C","M","S",1,29,1,"TOYOTA","VTY1201","VTYF035",NA,NA,NA,NA,NA,NA,NA,NA,"6-Feb-12",93,8.7,57.399988,18.31133531,36.39404031,"7:43:00","7:55:00",NA,12,"2973",NA,2.62,2.88,NA,NA,"Lid/Jof",NA,NA,NA,35,NA,NA,NA,33.4,NA,NA,NA,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,NA,NA,46.5,NA,NA,NA,4.7,NA,NA,"YES",NA,NA,2012-02-07,27.2172155444036,0.208455718845297,0.606831987446886
"5",5,5,"VTYM044","8-Jan-12","7-Feb-12","C","M","S",1,29,1,"TOYOTA","VTY1201","VTYF035",NA,NA,NA,NA,NA,NA,NA,NA,"6-Feb-12",95.5,8.7,57.399988,18.31133531,36.39404031,"7:43:00","8:23:00",NA,40,"2972",NA,NA,4.7376,NA,NA,"Lid/Jof",NA,NA,NA,37.6,NA,NA,NA,36,NA,NA,NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,46.2,NA,NA,NA,2.6,NA,NA,"YES",NA,NA,2012-02-07,-3.63555425792196,-0.0148575110182391,0.606831987446886
"6",6,6,"VTYM043","8-Jan-12","7-Feb-12","C","M","S",1,29,1,"TOYOTA","VTY1201","VTYF035",NA,NA,NA,NA,NA,NA,NA,NA,"6-Feb-12",81,8.7,57.399988,18.31133531,36.39404031,"6:46:00","7:25:00",NA,39,"2971",NA,2.5605,NA,NA,NA,"Lid/Jof",NA,NA,NA,39.9,NA,NA,NA,35.1,NA,NA,NA,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,NA,41.8,NA,NA,NA,2.6,NA,NA,"YES",NA,NA,2012-02-07,-47.6399275445975,-0.333362422886072,0.606831987446886
"7",7,7,"VKUF065","14-Jan-12","13-Feb-12","S","F","S",1,25,1,"KUNGFU","VKU1201","VKUF030",NA,NA,NA,NA,NA,NA,NA,NA,"8-Feb-12",85,31.7,57.399988,18.77770063,35.99621313,"7:55:00","8:28:00",NA,33,"2978",NA,0.898333333,0.1702,NA,NA,"Lid/Jof",NA,NA,NA,34.4,NA,NA,NA,32.6,NA,NA,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,NA,47.9,NA,NA,NA,2.2,NA,NA,"YES",NA,NA,2012-02-13,12.1399480111015,0.0993260254028454,0.606831987446886
"8",11,11,"VJXM054","16-Jan-12","15-Feb-12","C","M","S",1,25,1,"JAXX","VJX1201","VLF102",NA,NA,NA,NA,NA,NA,NA,NA,"10-Feb-12",133,16.9,68.399985,18.68932125,35.27338969,"8:14:00","8:23:00",NA,9,"2982",NA,0.866,0.788,NA,NA,"Lid/Jof",NA,NA,NA,37.1,NA,NA,NA,35.6,NA,NA,NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,NA,NA,NA,48.1,NA,NA,NA,NA,NA,NA,"YES",NA,NA,2012-02-15,40.2784399348339,0.302993234384001,0.790830715657726
"9",12,12,"VJXF053","16-Jan-12","15-Feb-12","C","F","S",1,25,1,"JAXX","VJX1201","VLF102",NA,NA,NA,NA,NA,NA,NA,NA,"10-Feb-12",127.25,16.9,68.399985,18.68932125,35.27338969,"9:00:00","9:11:00",NA,11,"2981",NA,1.270666667,NA,NA,NA,"Lid/Jof",NA,NA,NA,36.5,NA,NA,NA,35.1,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,NA,NA,NA,47.4,NA,NA,NA,NA,NA,NA,"YES",NA,NA,2012-02-15,29.2862170210539,0.223431210682934,0.790830715657726
"10",13,13,"VJXM055","16-Jan-12","15-Feb-12","C","M","S",1,25,1,"JAXX","VJX1201","VLF102",NA,NA,NA,NA,NA,NA,NA,NA,"10-Feb-12",128.25,16.9,68.399985,18.68932125,35.27338969,"9:23:00","9:34:00",NA,11,"2983",NA,2.08,3.804545455,NA,NA,"Lid/Jof",NA,NA,NA,38.5,NA,NA,NA,36.5,NA,NA,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1,NA,NA,NA,46.4,NA,NA,NA,NA,NA,NA,"YES",NA,NA,2012-02-15,17.5692561951183,0.138623513254517,0.790830715657726
